country;geo_area_code
world;1
afghanistan;4
albania;8
algeria;12
american_samoa;16
andorra;20
angola;24
anguilla;660
antarctica;10
antigua_and_barbuda;28
argentina;32
armenia;51
aruba;533
australia;36
austria;40
azerbaijan;31
bahamas_the;44
bahrain;48
bangladesh;50
barbados;52
belarus;112
belgium;56
belize;84
benin;204
bermuda;60
bhutan;64
bolivia;68
bosnia_and_herzegovina;70
botswana;72
bouvet_island;74
brazil;76
british_indian_ocean_territory;86
british_virgin_islands;92
brunei;96
bulgaria;100
burkina_faso;854
burma;104
burundi;108
cabo_verde;132
cambodia;116
cameroon;120
canada;124
cayman_islands;136
central_african_republic;140
chad;148
chile;152
china;156
christmas_island;162
cocos_keeling_islands;166
colombia;170
comoros;174
congo_democratic_republic_of_the;180
congo_republic_of_the;178
cook_islands;184
costa_rica;188
cote_d'_ivoire;384
croatia;191
cuba;192
cyprus;196
czechia;203
denmark;208
djibouti;262
dominica;212
dominican_republic;214
ecuador;218
egypt;818
el_salvador;222
equatorial_guinea;226
eritrea;232
estonia;233
ethiopia;231
falkland_islands_islas_malvinas;238
faroe_islands;234
fiji;242
finland;246
france;250
french_polynesia;258
gabon;266
gambia_the;270
georgia;268
germany;276
ghana;288
gibraltar;292
greece;300
greenland;304
grenada;308
guam;316
guatemala;320
guernsey;831
guinea;324
guinea_bissau;624
guyana;328
haiti;332
heard_island_and_mcdonald_islands;334
holy_see_vatican_city;336
honduras;340
hong_kong;344
hungary;348
iceland;352
india;356
indonesia;360
iran;364
iraq;368
ireland;372
isle_of_man;833
israel;376
italy;380
jamaica;388
japan;392
jersey;832
jordan;400
kazakhstan;398
kenya;404
kiribati;296
korea_north;408
korea_south;410
kosovo;412
kuwait;414
kyrgyzstan;417
laos;418
latvia;428
lebanon;422
lesotho;426
liberia;430
libya;434
liechtenstein;438
lithuania;440
luxembourg;442
macau;446
madagascar;450
malawi;454
malaysia;458
maldives;462
mali;466
malta;470
marshall_islands;584
mauritania;478
mauritius;480
mexico;484
micronesia_federated_states_of;583
moldova;498
monaco;492
mongolia;496
montenegro;499
montserrat;500
morocco;504
mozambique;508
namibia;516
nauru;520
nepal;524
netherlands;528
new_caledonia;540
new_zealand;554
nicaragua;558
niger;562
nigeria;566
niue;570
norfolk_island;574
north_macedonia;807
northern_mariana_islands;580
norway;578
oman;512
pakistan;586
palau;585
panama;591
papua_new_guinea;598
paraguay;600
peru;604
philippines;608
pitcairn_islands;612
poland;616
portugal;620
puerto_rico;630
qatar;634
romania;642
russia;643
rwanda;646
saint_barthelemy;652
saint_helena_ascension_and_tristan_da_cunha;654
saint_kitts_and_nevis;659
saint_lucia;662
saint_martin;663
saint_pierre_and_miquelon;666
saint_vincent_and_the_grenadines;670
samoa;882
san_marino;674
sao_tome_and_principe;678
saudi_arabia;682
senegal;686
serbia;688
seychelles;690
sierra_leone;694
singapore;702
sint_maarten;534
slovakia;703
slovenia;705
solomon_islands;90
somalia;706
south_africa;710
south_georgia_and_south_sandwich_islands;239
south_sudan;728
spain;724
sri_lanka;144
sudan;729
suriname;740
svalbard;744
sweden;752
switzerland;756
syria;760
tajikistan;762
tanzania;834
thailand;764
timor_leste;626
togo;768
tokelau;772
tonga;776
trinidad_and_tobago;780
tunisia;788
turkey;792
turkmenistan;795
turks_and_caicos_islands;796
tuvalu;798
uganda;800
ukraine;804
united_arab_emirates;784
united_kingdom;826
united_states;840
uruguay;858
uzbekistan;860
vanuatu;548
venezuela;862
vietnam;704
virgin_islands;850
wallis_and_futuna;876
western_sahara;732
yemen;887
zambia;894
zimbabwe;716
european_union;97
