,Country,ICT,geoAreaCode
0,Algeria,14.210667777777777,12.0
1,Andorra,46.151842,20.0
2,Austria,50.3797775,40.0
3,Azerbaijan,26.290483333333334,31.0
4,Bahrain,49.38240111111111,48.0
5,Belarus,25.198855555555554,112.0
6,Belgium,49.04353222222222,56.0
7,Bosnia and Herzegovina,23.65436375,70.0
8,Botswana,20.5152275,72.0
9,Brazil,14.598078888888889,76.0
10,Brunei Darussalam,45.96152222222222,96.0
11,Bulgaria,28.32406428571429,100.0
12,Burundi,1.93125,108.0
13,Cabo Verde,26.179844285714285,132.0
14,Cambodia,14.06004888888889,116.0
15,Chile,35.074248,152.0
16,"China, Hong Kong Special Administrative Region",32.54666111111111,344.0
17,"China, Macao Special Administrative Region",34.93980111111111,446.0
18,Colombia,26.21022888888889,170.0
19,Costa Rica,21.508763333333334,188.0
20,Croatia,34.24140111111111,191.0
21,Cuba,16.20689,192.0
22,Curaçao,20.112718888888892,531.0
23,Cyprus,33.60534375,196.0
24,Czechia,38.262812499999995,203.0
25,Côte d'Ivoire,9.913163333333333,384.0
26,Denmark,56.8857825,208.0
27,Djibouti,13.583978888888888,262.0
28,Dominican Republic,17.32177,214.0
29,Egypt,36.129036666666664,818.0
30,Estonia,44.2304225,233.0
31,Finland,52.401013750000004,246.0
32,France,39.00934600000001,250.0
33,Georgia,17.664026666666665,268.0
34,Germany,49.501444444444445,276.0
35,Greece,37.3999175,300.0
36,Hungary,38.20150375,348.0
37,Iceland,62.56375874999999,352.0
38,Indonesia,33.35628444444444,360.0
39,Iran (Islamic Republic of),12.833087777777777,364.0
40,Iraq,18.673333333333336,368.0
41,Ireland,41.11683375,372.0
42,Italy,34.3409,380.0
43,Jamaica,8.863464444444444,388.0
44,Japan,5.168881111111111,392.0
45,Kazakhstan,22.807934444444445,398.0
46,Kuwait,48.35143111111111,414.0
47,Latvia,36.99587124999999,428.0
48,Lithuania,42.05724444444445,440.0
49,Luxembourg,67.71979222222222,442.0
50,Malaysia,38.10235888888889,458.0
51,Malta,40.310410000000005,470.0
52,Mexico,25.406409999999997,484.0
53,Mongolia,12.193333333333333,496.0
54,Montenegro,39.39812142857143,499.0
55,Morocco,30.602308888888892,504.0
56,Netherlands,54.99023666666666,528.0
57,Niger,1.4114244444444446,562.0
58,North Macedonia,24.857675,807.0
59,Norway,55.71063875,578.0
60,Oman,46.58911777777777,512.0
61,Pakistan,3.02950375,586.0
62,Peru,16.855117777777778,604.0
63,Poland,34.95997777777778,616.0
64,Portugal,38.8093275,620.0
65,Qatar,35.06637888888889,634.0
66,Republic of Korea,57.49338111111111,410.0
67,Romania,25.854255,642.0
68,Russian Federation,19.974264444444444,643.0
69,Saudi Arabia,52.61666666666667,682.0
70,Serbia,30.078657777777778,688.0
71,Singapore,44.012995555555555,702.0
72,Slovakia,44.62522777777778,703.0
73,Slovenia,39.371778750000004,705.0
74,Spain,46.32371875,724.0
75,State of Palestine,6.685235555555556,275.0
76,Sudan,2.6370666666666667,729.0
77,Sweden,54.08653375,752.0
78,Switzerland,53.02271,756.0
79,Thailand,11.53920777777778,764.0
80,Togo,2.1889477777777775,768.0
81,Tunisia,16.898251111111108,788.0
82,Turkey,29.11506142857143,792.0
83,United Arab Emirates,39.05691888888888,784.0
84,United Kingdom of Great Britain and Northern Ireland,52.454465,826.0
85,Uzbekistan,13.4375,860.0
86,Zambia,33.55555555555556,894.0
87,Zimbabwe,2.631098888888889,716.0
